origin,refugees,gdp
Afghanistan,2501445,547.2281102
Angola,8404,3506.072885
Albania,11065,4124.108907
United Arab Emirates,112,38141.84676
Argentina,128,12790.24247
Armenia,10719,3591.829276
Antigua and Barbuda,83,15197.61746
Australia,14,49971.13146
Austria,6,45237.80509
Azerbaijan,10112,3880.738731
Burundi,408085,282.1931304
Belgium,45,42012.0999
Benin,489,1087.287832
Burkina Faso,2357,582.7954443
Bangladesh,13850,1401.620628
Bulgaria,805,7469.455638
Bahrain,462,22619.11667
Bahamas,299,31588.835
Bosnia and Herzegovina,18199,4994.68314
Belarus,3840,5022.626643
Belize,57,4818.404394
Bolivia (Plurinational State of),537,3076.658949
Brazil,809,8710.09669
Barbados,148,16936.90604
Brunei Darussalam,1,27157.82341
Bhutan,11757,2930.562988
Botswana,272,7243.852997
Central African Rep.,490892,401.9182384
Canada,84,42279.90082
Switzerland,6,80172.1933
Chile,498,13748.08766
China,207772,8078.790474
Cameroon,10374,1363.403851
Dem. Rep. of the Congo,537473,471.3188404
Congo,13302,1814.063418
Colombia,311062,5871.223524
Comoros,576,1272.193943
Cabo Verde,13,3130.982229
Costa Rica,208,11666.45591
Cuba,5948,8060.795886
Cayman Islands,7,78296.09993
Cyprus,2,24532.51906
Czech Rep.,1271,18463.38658
Germany,74,42098.92045
Djibouti,1440,2818.376856
Denmark,2,54663.99837
Dominican Rep.,361,7280.873164
Algeria,3726,3946.421445
Ecuador,1046,6060.093329
Egypt,19796,3525.020165
Spain,35,26505.34322
Estonia,305,18237.29584
Ethiopia,83966,717.1245929
Finland,4,43777.44009
Fiji,792,5651.318055
France,54,37038.95513
Gabon,171,6979.709196
United Kingdom,81,41064.13343
Georgia,6403,4062.169888
Ghana,15541,1931.38947
Guinea,17548,732.9621726
Gambia,11600,682.7180203
Guinea-Bissau,1653,661.0076549
Equatorial Guinea,142,9250.331953
Greece,105,18116.45962
Grenada,101,9628.347487
Guatemala,12554,4140.589826
Guyana,272,4542.622067
"China, Hong Kong SAR",12,43734.24999
Honduras,10507,2342.584651
Croatia,26230,12360.47326
Haiti,29684,735.3017703
Hungary,2909,12992.37567
Indonesia,13064,3562.845756
India,7291,1729.268021
Ireland,5,63197.08237
Iran (Islamic Rep. of),94094,5265.906635
Iraq,316030,4776.726499
Israel,495,37321.62404
Italy,51,30936.12544
Jamaica,2005,4843.338474
Jordan,1933,4103.7336
Japan,59,38794.33094
Kazakhstan,2364,7714.841844
Kenya,7535,1410.527571
Kyrgyzstan,2573,1120.666513
Cambodia,12429,1278.631062
Saint Kitts and Nevis,49,18811.94512
Rep. of Korea,250,27623.28869
Kuwait,1021,27653.1644
Lao People's Dem. Rep.,7232,2308.800482
Lebanon,4740,7634.946544
Liberia,6573,714.6233922
Libya,8836,4035.194316
Saint Lucia,994,9452.055364
Sri Lanka,117479,3886.291502
Lesotho,12,1115.336075
Lithuania,73,14999.47964
Luxembourg,2,104278.391
Latvia,172,14153.41492
"China, Macao SAR",4,74061.08603
Morocco,2262,2896.720003
Monaco,3,169915.8048
Rep. of Moldova,2318,2880.439281
Madagascar,297,475.9553656
Mexico,10385,8739.756043
The former Yugoslav Republic of Macedonia,1738,5129.15896
Mali,156428,779.874933
Myanmar,490289,1192.495338
Montenegro,718,7028.936577
Mongolia,2285,3660.150746
Mozambique,50,428.926488
Mauritania,36266,1123.888166
Mauritius,111,9681.618567
Malawi,427,315.7773264
Malaysia,456,9817.740861
Namibia,1366,4786.235303
Niger,1235,362.1311323
Nigeria,229311,2175.99967
Nicaragua,1419,2107.56718
Netherlands,37,46007.85292
Norway,10,70460.56053
Nepal,8377,777.1475955
New Zealand,28,40026.8522
Oman,38,14721.64733
Pakistan,105428,1368.454326
Panama,40,14356.32405
Peru,2609,6204.99726
Philippines,434,2941.21204
Palau,2,16932.33286
Papua New Guinea,399,2509.631457
Poland,1159,12431.57542
Portugal,19,19978.40121
Paraguay,71,5319.410218
Qatar,29,57163.06099
Romania,1199,9567.031743
Russian Federation,62759,8745.375117
Rwanda,286073,726.3479745
Saudi Arabia,936,19879.29753
Sudan,650640,2398.10188
Senegal,23061,1269.040407
Singapore,41,56724.17039
Solomon Islands,69,1986.416229
Sierra Leone,4679,501.4157129
El Salvador,19614,3800.103302
Serbia and Kosovo (S/RES/1244 (1999)),36933,5756.381194
Suriname,18,5604.722569
Slovakia,794,16505.99806
Slovenia,21,21622.58068
Sweden,15,51974.19656
Swaziland,229,3447.695698
Turks and Caicos Islands,16,25995.17246
Chad,14193,692.9785958
Togo,8310,597.4710888
Thailand,158,5978.611454
Tajikistan,925,802.5180041
Turkmenistan,377,6389.548408
Timor-Leste,22,1358.201692
Tonga,27,3966.15652
Trinidad and Tobago,295,16176.94737
Tunisia,1700,3698.058504
Turkey,57925,10820.63384
United Rep. of Tanzania,594,966.4746224
Uganda,6233,608.7057351
Ukraine,239075,2187.731997
Uruguay,27,15387.14403
United States of America,310,57927.51685
Uzbekistan,3836,2567.799207
Saint Vincent and the Grenadines,1333,7075.06582
Viet Nam,329351,2192.214539
Vanuatu,2,2889.853036
Yemen,18452,1139.870568
South Africa,450,5272.918425
Zambia,265,1280.578447
Zimbabwe,18156,1464.583529