countries,2010,2011,2012,2013,2014,2015,2016
Austria,37.11966,40.413645,58.727749,61.446431,104.145813,488.385837,654.318635
Belgium,95.842205,119.53432,125.740513,149.196372,176.86547,255.027705,414.471878
Canada,254.748358,282.241623,221.952234,178.195609,192.121475,220.781437,416.366253
Czech Republic,13.363537,10.711423,9.485218,8.783315,11.757072,16.819958,21.069701
Denmark,143.162237,110.288112,137.627876,149.465655,234.186531,432.375641,447.494859
Finland,47.110106,33.605108,22.918158,19.755228,14.993126,42.827396,142.974743
France,412.661245,488.703313,485.656037,416.759117,444.208726,393.466049,504.196937
Germany,81.418314,81.327956,76.475522,132.70527,160.947897,3333.374266,7209.451284
Greece,29.67471,20.632669,17.643466,18.719137,19.037127,63.772385,157.993052
Iceland,..,0.224374,0.271397,0.402084,3.04701,6.036211,18.047517
Ireland,0.204842,0.269186,0.132239,0.038933,0.321706,0.670406,1.163913
Italy,3.366691,478.482932,239.726564,375.39601,774.686541,1074.447143,1805.237015
Japan,0.353224,0.526484,0.561164,0.578298,0.557753,0.240926,0.235699
Netherlands,327.576618,441.135095,331.330024,348.088563,871.986348,1466.713334,479.169623
New Zealand,13.982621,13.592753,18.531698,17.94078,17.630157,17.596537,17.441058
Norway,297.485764,202.858175,175.503577,205.879857,227.257588,497.14892,908.309787
Portugal,0.263347,0.344684,0.839686,1.494295,0.875666,3.135732,4.765136
Spain,34.217546,30.669776,21.604732,22.49267,16.948379,35.324469,96.859649
Sweden,373.326873,410.20132,494.783708,582.617304,937.041973,2463.753905,844.247077
Switzerland,381.934526,476.226822,613.985449,417.454102,445.372335,485.097729,693.992259
United Kingdom,17.917266,29.301639,41.886077,46.831004,191.779855,361.521958,589.076256
United States,870.61196,823.481728,918.173751,1059.653213,1327.154365,1267.586561,1776.101687